gene_id	sample_1	sample_2	sample_3	sample_4	sample_5
gene_001	980.5	1020.3	995.1	1005.7	988.2
gene_002	850.2	870.8	860.4	855.9	865.1
gene_003	720.0	710.5	730.2	715.3	725.8
gene_004	610.4	625.1	615.8	620.0	618.3
gene_005	500.9	495.2	510.1	505.4	498.7
gene_006	400.3	410.7	405.1	408.2	402.9
gene_007	300.1	295.8	305.4	298.6	302.3
gene_008	200.5	210.2	205.7	208.1	203.4
gene_009	100.8	105.3	102.1	103.7	101.5
gene_010	50.2	48.9	52.1	49.7	51.3
gene_011	30.5	32.1	31.4	30.9	31.7
gene_012	10.1	9.8	10.5	10.2	9.9
